
Gurobi 11.0.3 (linux64, Java) logging started sáb 14 dez 2024 05:48:24 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 2.7413914365596508e-08
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_epec/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 100781 rows, 68273 columns and 492664 nonzeros
Model fingerprint: 0x5d00ccee
Model has 189 quadratic constraints
Variable types: 34046 continuous, 34227 integer (184 binary)
Coefficient statistics:
  Matrix range     [5e-03, 1e+07]
  QMatrix range    [5e-03, 2e+05]
  QLMatrix range   [1e+00, 2e+05]
  Objective range  [1e+00, 7e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 2e+07]
  QRHS range       [3e-03, 3e-03]
Presolve removed 100241 rows and 67283 columns
Presolve time: 0.26s
Presolved: 1202 rows, 1200 columns, 48325 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 184 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 583 continuous, 617 integer (186 binary)
Found heuristic solution: objective 9160353.1580

Root relaxation: objective 3.857671e+06, 220 iterations, 0.02 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 3857671.19    0  271 9160353.16 3857671.19  57.9%     -    0s
     0     0 5053212.87    0  272 9160353.16 5053212.87  44.8%     -    0s
     0     0 5068094.54    0  272 9160353.16 5068094.54  44.7%     -    1s
H    0     0                    8377383.2745 5068094.54  39.5%     -    1s
H    0     0                    8377232.4833 5068094.54  39.5%     -    1s
     0     0 5068094.54    0  272 8377232.48 5068094.54  39.5%     -    1s
     0     0 5068094.54    0  272 8377232.48 5068094.54  39.5%     -    1s
H    0     0                    8147402.2700 5068094.54  37.8%     -    1s
     0     0 5068094.54    0  272 8147402.27 5068094.54  37.8%     -    1s
H    0     0                    8101115.3644 5069069.21  37.4%     -    2s
     0     2 5069069.21    0  272 8101115.36 5069069.21  37.4%     -    2s
H    2     4                    8099233.6741 5069069.21  37.4%   0.5    2s
H    6     8                    8099050.3681 5069939.17  37.4%   0.7    2s
H   10    12                    8098899.7596 5070386.85  37.4%   0.8    2s
H   13    16                    8098872.3577 5070386.85  37.4%   0.8    2s
H   14    16                    8098809.8468 5070386.85  37.4%   0.9    2s
H   27    30                    8084431.5508 5070665.87  37.3%   0.9    3s
    67    78 5074119.12   25  251 8084431.55 5070665.87  37.3%   1.0    5s
H  248   250                    8083428.1882 5070665.87  37.3%   1.3    9s
   249   267 5074286.50   97  197 8083428.19 5070665.87  37.3%   1.4   10s
H  257   267                    8083390.3535 5070665.87  37.3%   1.4   10s
H  258   267                    8082410.6630 5070665.87  37.3%   1.4   10s
H  260   267                    8082313.4284 5070665.87  37.3%   1.4   10s
H  261   267                    8082273.2215 5070665.87  37.3%   1.4   10s
H  262   267                    8082262.6776 5070665.87  37.3%   1.4   10s
H  263   267                    8082195.0480 5070665.87  37.3%   1.4   10s
H  264   267                    8082144.7477 5070665.87  37.3%   1.4   10s
H  265   267                    8082117.4588 5070665.87  37.3%   1.4   10s
H  272   282                    8082091.4518 5070665.87  37.3%   1.4   10s
H  273   282                    8082071.7915 5070665.87  37.3%   1.4   10s
H  275   282                    8082014.3087 5070665.87  37.3%   1.4   10s
H  278   282                    8081996.0682 5070665.87  37.3%   1.4   10s
H  280   282                    8081747.6992 5070665.87  37.3%   1.4   10s
H  294   296                    8081720.6222 5070665.87  37.3%   1.4   11s
H  298   318                    8081716.9653 5070665.87  37.3%   1.4   12s
H  301   318                    8081230.5661 5070665.87  37.3%   1.4   12s
H  302   318                    8081168.7513 5070665.87  37.3%   1.4   12s
H  303   318                    8080160.4851 5070665.87  37.2%   1.4   12s
H  304   318                    8080104.9516 5070665.87  37.2%   1.4   12s
H  311   318                    8078514.5912 5070665.87  37.2%   1.4   12s
H  312   318                    8078481.3045 5070665.87  37.2%   1.4   12s
H  313   318                    8078427.4647 5070665.87  37.2%   1.4   12s
H  314   318                    8078338.5779 5070665.87  37.2%   1.4   12s
H  315   318                    8078308.0700 5070665.87  37.2%   1.4   12s
H  316   318                    8078262.1219 5070665.87  37.2%   1.4   12s
H  322   339                    8066896.4290 5070665.87  37.1%   1.4   12s
H  324   339                    8066748.9410 5070665.87  37.1%   1.6   12s
H  325   339                    8066561.0560 5070665.87  37.1%   1.6   12s
H  326   339                    8066429.5872 5070665.87  37.1%   1.5   12s
H  327   339                    8058979.0198 5070665.87  37.1%   1.5   12s
H  374   381                    8058904.6008 5070665.87  37.1%   1.8   13s
H  376   381                    8058807.7728 5070665.87  37.1%   1.8   13s
H  377   381                    8058681.5703 5070665.87  37.1%   1.8   13s
