
Gurobi 11.0.3 (linux64, Java) logging started seg 16 dez 2024 14:41:39 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 5.5922415627952831e-08
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_epec/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 146159 rows, 100136 columns and 1217161 nonzeros
Model fingerprint: 0x36843444
Model has 228 quadratic constraints
Variable types: 49958 continuous, 50178 integer (223 binary)
Coefficient statistics:
  Matrix range     [4e-03, 4e+06]
  QMatrix range    [4e-03, 7e+04]
  QLMatrix range   [1e+00, 7e+04]
  Objective range  [1e+00, 4e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 9e+05]
  QRHS range       [2e-01, 2e-01]
Presolve removed 144661 rows and 98208 columns
Presolve time: 0.67s
Presolved: 2355 rows, 2197 columns, 239097 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 223 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 720 continuous, 1477 integer (225 binary)
Found heuristic solution: objective 3824045.5664

Root relaxation: objective 2.544202e+05, 346 iterations, 0.05 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 254420.155    0  223 3824045.57 254420.155  93.3%     -    1s
H    0     0                    1697295.1905 254420.155  85.0%     -    1s
H    0     0                    1697295.1904 254420.155  85.0%     -    1s
     0     0 254420.155    0  137 1697295.19 254420.155  85.0%     -    1s
     0     0 254420.832    0  140 1697295.19 254420.832  85.0%     -    1s
     0     0 254427.451    0  143 1697295.19 254427.451  85.0%     -    1s
H    0     0                    1647995.5787 254427.475  84.6%     -    2s
     0     0 254445.604    0  143 1647995.58 254445.604  84.6%     -    2s
     0     0 254464.165    0  143 1647995.58 254464.165  84.6%     -    2s
     0     0 254489.208    0  229 1647995.58 254489.208  84.6%     -    2s
     0     0 254533.837    0  144 1647995.58 254533.837  84.6%     -    2s
     0     0 254593.388    0  227 1647995.58 254593.388  84.6%     -    2s
     0     0 254657.651    0  229 1647995.58 254657.651  84.5%     -    2s
     0     0 254737.864    0  228 1647995.58 254737.864  84.5%     -    2s
     0     0 254816.522    0  230 1647995.58 254816.522  84.5%     -    2s
     0     0 254904.349    0  230 1647995.58 254904.349  84.5%     -    2s
     0     0 254982.349    0  230 1647995.58 254982.349  84.5%     -    2s
     0     0 255078.124    0  231 1647995.58 255078.124  84.5%     -    2s
     0     0 255162.064    0  231 1647995.58 255162.064  84.5%     -    3s
     0     0 255260.084    0  234 1647995.58 255260.084  84.5%     -    3s
     0     0 255363.690    0  234 1647995.58 255363.690  84.5%     -    3s
     0     0 255468.821    0  235 1647995.58 255468.821  84.5%     -    3s
     0     0 255578.831    0  236 1647995.58 255578.831  84.5%     -    3s
H    0     0                    1437453.5173 255578.875  82.2%     -    3s
     0     0 255703.986    0  238 1437453.52 255703.986  82.2%     -    3s
     0     0 255802.588    0  238 1437453.52 255802.588  82.2%     -    3s
     0     0 255914.914    0  240 1437453.52 255914.914  82.2%     -    3s
     0     0 256037.790    0  239 1437453.52 256037.790  82.2%     -    3s
     0     0 256177.127    0  243 1437453.52 256177.127  82.2%     -    3s
     0     0 256317.979    0  243 1437453.52 256317.979  82.2%     -    3s
     0     0 256445.090    0  243 1437453.52 256445.090  82.2%     -    3s
     0     0 256453.173    0  242 1437453.52 256453.173  82.2%     -    3s
     0     0 256577.740    0  245 1437453.52 256577.740  82.2%     -    3s
     0     0 256578.743    0  245 1437453.52 256578.743  82.2%     -    3s
     0     0 256699.540    0  244 1437453.52 256699.540  82.1%     -    3s
     0     0 256700.049    0  244 1437453.52 256700.049  82.1%     -    3s
     0     0 256846.698    0  243 1437453.52 256846.698  82.1%     -    3s
     0     0 256850.485    0  244 1437453.52 256850.485  82.1%     -    4s
     0     0 257007.240    0  169 1437453.52 257007.240  82.1%     -    4s
     0     0 257009.911    0  166 1437453.52 257009.911  82.1%     -    4s
     0     0 257136.548    0  243 1437453.52 257136.548  82.1%     -    4s
     0     0 257138.626    0  244 1437453.52 257138.626  82.1%     -    4s
     0     0 257270.413    0  245 1437453.52 257270.413  82.1%     -    4s
     0     0 257272.400    0  245 1437453.52 257272.400  82.1%     -    4s
     0     0 257399.679    0  245 1437453.52 257399.679  82.1%     -    4s
     0     0 257400.180    0  246 1437453.52 257400.180  82.1%     -    4s
     0     0 257557.051    0  244 1437453.52 257557.051  82.1%     -    4s
     0     0 257669.153    0  167 1437453.52 257669.153  82.1%     -    4s
     0     0 257670.877    0  168 1437453.52 257670.877  82.1%     -    4s
     0     0 257774.388    0  245 1437453.52 257774.388  82.1%     -    4s
