
Gurobi 11.0.3 (linux64, Java) logging started dom 29 dez 2024 09:41:39 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 7.7716481645149384e-08
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_epec/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 150015 rows, 101033 columns and 647718 nonzeros
Model fingerprint: 0xcba13d12
Model has 229 quadratic constraints
Variable types: 50406 continuous, 50627 integer (224 binary)
Coefficient statistics:
  Matrix range     [4e-03, 4e+06]
  QMatrix range    [4e-03, 7e+04]
  QLMatrix range   [1e+00, 7e+04]
  Objective range  [1e+00, 3e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 1e+05]
  QRHS range       [1e-01, 1e-01]
Presolve removed 149662 rows and 100030 columns
Presolve time: 0.29s
Presolved: 1083 rows, 1241 columns, 24299 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 224 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 690 continuous, 551 integer (226 binary)
Found heuristic solution: objective 688022.08662

Root relaxation: objective 3.086840e+05, 201 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 308684.048    0  232 688022.087 308684.048  55.1%     -    0s
     0     0 310585.943    0  238 688022.087 310585.943  54.9%     -    0s
     0     0 311324.021    0  241 688022.087 311324.021  54.8%     -    0s
     0     0 311635.584    0  242 688022.087 311635.584  54.7%     -    0s
     0     0 311810.291    0  243 688022.087 311810.291  54.7%     -    0s
     0     0 311988.909    0  243 688022.087 311988.909  54.7%     -    0s
     0     0 312116.834    0  245 688022.087 312116.834  54.6%     -    0s
     0     0 312221.478    0  245 688022.087 312221.478  54.6%     -    1s
     0     0 312325.675    0  245 688022.087 312325.675  54.6%     -    1s
     0     0 312423.912    0  245 688022.087 312423.912  54.6%     -    1s
     0     0 312424.209    0  245 688022.087 312424.209  54.6%     -    1s
     0     0 312494.409    0  245 688022.087 312494.409  54.6%     -    1s
     0     0 312494.561    0  246 688022.087 312494.561  54.6%     -    1s
     0     0 312551.983    0  246 688022.087 312551.983  54.6%     -    1s
     0     0 312552.781    0  247 688022.087 312552.781  54.6%     -    1s
     0     0 312642.753    0  246 688022.087 312642.753  54.6%     -    1s
     0     0 312643.738    0  247 688022.087 312643.738  54.6%     -    1s
     0     0 312753.452    0  246 688022.087 312753.452  54.5%     -    1s
     0     0 312754.321    0  247 688022.087 312754.321  54.5%     -    1s
     0     0 312819.786    0  246 688022.087 312819.786  54.5%     -    1s
     0     0 312819.835    0  247 688022.087 312819.835  54.5%     -    1s
     0     0 312906.888    0  246 688022.087 312906.888  54.5%     -    1s
H    0     0                    675960.08895 312906.888  53.7%     -    1s
     0     0 312908.876    0  247 675960.089 312908.876  53.7%     -    1s
     0     0 313000.625    0  247 675960.089 313000.625  53.7%     -    1s
     0     0 313059.650    0  246 675960.089 313059.650  53.7%     -    1s
     0     0 313061.060    0  247 675960.089 313061.060  53.7%     -    1s
     0     0 313136.048    0  247 675960.089 313136.048  53.7%     -    1s
     0     0 313138.178    0  247 675960.089 313138.178  53.7%     -    1s
     0     0 313214.973    0  246 675960.089 313214.973  53.7%     -    1s
     0     0 313220.145    0  247 675960.089 313220.145  53.7%     -    1s
     0     0 313278.599    0  246 675960.089 313278.599  53.7%     -    1s
     0     0 313281.416    0  247 675960.089 313281.416  53.7%     -    1s
     0     0 313364.438    0  246 675960.089 313364.438  53.6%     -    1s
     0     0 313369.446    0  247 675960.089 313369.446  53.6%     -    1s
     0     0 313454.002    0  246 675960.089 313454.002  53.6%     -    1s
     0     0 313457.553    0  248 675960.089 313457.553  53.6%     -    1s
     0     0 313546.464    0  247 675960.089 313546.464  53.6%     -    1s
     0     0 313549.384    0  248 675960.089 313549.384  53.6%     -    1s
     0     0 313647.705    0  248 675960.089 313647.705  53.6%     -    1s
     0     0 313745.319    0  248 675960.089 313745.319  53.6%     -    1s
     0     0 313805.128    0  248 675960.089 313805.128  53.6%     -    1s
     0     0 313849.846    0  247 675960.089 313849.846  53.6%     -    1s
     0     0 313849.979    0  248 675960.089 313849.979  53.6%     -    1s
     0     0 313894.312    0  248 675960.089 313894.312  53.6%     -    1s
     0     0 313938.201    0  247 675960.089 313938.201  53.6%     -    1s
     0     0 313938.283    0  248 675960.089 313938.283  53.6%     -    1s
     0     0 313981.789    0  248 675960.089 313981.789  53.6%     -    1s
     0     0 314033.032    0  248 675960.089 314033.032  53.5%     -    1s
     0     0 314081.058    0  249 675960.089 314081.058  53.5%     -    1s
     0     0 314124.997    0  249 675960.089 314124.997  53.5%     -    1s
