
Gurobi 11.0.3 (linux64, Java) logging started qui 18 dez 2025 20:27:15 -03

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2566693
Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 2.8398712201892718e-08
Set parameter Threads to value 1
Set parameter NodefileDir to value "/home/ps12398/efpe/goalProgrammingMarcos/"
Set parameter NodefileStart to value 0.1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 1 threads

Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br
Optimize a model with 257643 rows, 174944 columns and 1943429 nonzeros
Model fingerprint: 0xc34fe10c
Model has 300 quadratic constraints
Variable types: 87326 continuous, 87618 integer (295 binary)
Coefficient statistics:
  Matrix range     [3e-03, 3e+06]
  QMatrix range    [3e-03, 5e+04]
  QLMatrix range   [1e+00, 5e+04]
  Objective range  [1e+00, 7e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 2e+06]
  QRHS range       [3e-02, 3e-02]
Presolve removed 255895 rows and 172676 columns
Presolve time: 1.38s
Presolved: 2891 rows, 2626 columns, 329427 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 295 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 953 continuous, 1673 integer (297 binary)
Found heuristic solution: objective 2.064526e+07

Root relaxation: objective 2.294426e+06, 390 iterations, 0.21 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2294425.74    0  319 2.0645e+07 2294425.74  88.9%     -    2s
H    0     0                    3137523.9694 2294425.74  26.9%     -    2s
     0     0 2309146.14    0  318 3137523.97 2309146.14  26.4%     -    3s
     0     0 2309855.48    0  317 3137523.97 2309855.48  26.4%     -    3s
H    0     0                    2659480.8648 2309861.87  13.1%     -    4s
     0     0 2310186.14    0  319 2659480.86 2310186.14  13.1%     -    4s
     0     0 2310211.00    0  321 2659480.86 2310211.00  13.1%     -    4s
     0     0 2310222.15    0  321 2659480.86 2310222.15  13.1%     -    4s
     0     0 2310222.46    0  321 2659480.86 2310222.46  13.1%     -    6s
H    0     0                    2617152.5724 2310222.46  11.7%     -    6s
H    0     0                    2538732.5865 2310222.46  9.00%     -    7s
     0     2 2310228.36    0  321 2538732.59 2310228.36  9.00%     -    7s
H   27    27                    2518667.5820 2310236.74  8.28%   1.1    9s
    54    56 2310238.88   50  314 2518667.58 2310236.74  8.28%   1.3   10s
H   92    92                    2518482.1646 2310236.74  8.27%   1.7   11s
   153   155 2310254.43  131  297 2518482.16 2310236.74  8.27%   3.5   15s
   214   216 2310254.54  192  295 2518482.16 2310236.74  8.27%   3.0   39s
   218   220 2345950.29  194  295 2518482.16 2310236.74  8.27%   4.2   40s
H  270   254                    2491183.0874 2310236.74  7.26%   4.9   42s
H  324   302                    2461120.6179 2310236.74  6.13%   4.9   43s
H  351   329                    2460628.5494 2310236.74  6.11%   4.6   44s
   379   359 2401511.81  328  303 2460628.55 2310236.74  6.11%   4.3   45s
   543   487 2431830.42  442  282 2460628.55 2310236.74  6.11%   5.0   50s
H  594   524                    2460517.8697 2310236.74  6.11%   5.2   52s
   648   561 2432506.64  495  283 2460517.87 2310236.74  6.11%   5.5   55s
   773   635 2431830.42  557  282 2460517.87 2310236.74  6.11%   5.9   60s
H  810   641                    2448848.0197 2310236.74  5.66%   6.1   61s
H  837   640                    2444076.2222 2310236.74  5.48%   6.2   62s
   850   642 2310258.85  157  388 2444076.22 2310237.22  5.48%   6.2   65s
H  852   610                    2441838.5847 2311870.51  5.32%   6.2   67s
   859   616 2312029.83  190  388 2441838.58 2312029.83  5.32%   6.7   70s
H  865   588                    2438329.8901 2312032.19  5.18%   6.6   72s
   867   589 2401511.50  252   30 2438329.89 2312032.19  5.18%   6.6   75s
   879   599 2312320.48   34  308 2438329.89 2312311.40  5.17%   7.1   80s
   913   622 2312333.47   51  297 2438329.89 2312311.40  5.17%   7.0   85s
H  946   611                    2437884.1675 2312311.40  5.15%   7.0   90s
   975   630 2336699.06   82  299 2437884.17 2312311.40  5.15%   7.0   95s
H  998   615                    2437882.7495 2312311.40  5.15%   7.1   99s
  1002   619 2336699.84   95  297 2437882.75 2312311.40  5.15%   7.1  100s
  1028   637 2336857.54  108  297 2437882.75 2312311.40  5.15%   7.5  105s
  1058   657 2434611.63  123  302 2437882.75 2312311.40  5.15%   8.3  110s
  1085   673 2341669.39  137  297 2437882.75 2312311.40  5.15%   8.5  115s
  1113   691 2341672.31  151  297 2437882.75 2312311.40  5.15%   8.4  120s
  1144   712 2341674.89  166  299 2437882.75 2312311.40  5.15%   8.4  125s
  1173   731 2341676.51  181  297 2437882.75 2312311.40  5.15%   8.4  130s
  1204   752 2341679.09  196  299 2437882.75 2312311.40  5.15%   8.4  135s
