
Gurobi 11.0.3 (linux64, Java) logging started sáb 20 dez 2025 01:23:22 -03

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2566693
Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 2.8398712201892718e-08
Set parameter Threads to value 1
Set parameter NodefileDir to value "/home/ps12398/efpe/goalProgrammingMarcos/"
Set parameter NodefileStart to value 0.1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 1 threads

Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br
Optimize a model with 257643 rows, 174944 columns and 1943429 nonzeros
Model fingerprint: 0x9643c39c
Model has 300 quadratic constraints
Variable types: 87326 continuous, 87618 integer (295 binary)
Coefficient statistics:
  Matrix range     [3e-03, 3e+06]
  QMatrix range    [3e-03, 5e+04]
  QLMatrix range   [1e+00, 5e+04]
  Objective range  [1e+00, 7e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 6e+06]
Presolve removed 255895 rows and 172676 columns
Presolve time: 0.82s
Presolved: 2891 rows, 2626 columns, 329427 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 295 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 953 continuous, 1673 integer (297 binary)
Found heuristic solution: objective 1.468593e+07

Root relaxation: objective 4.947239e+05, 592 iterations, 0.17 seconds (0.14 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 494723.915    0  517 1.4686e+07 494723.915  96.6%     -    1s
     0     0 1065937.76    0  467 1.4686e+07 1065937.76  92.7%     -    2s
     0     0 1090894.89    0  460 1.4686e+07 1090894.89  92.6%     -    4s
     0     0 1090894.89    0  460 1.4686e+07 1090894.89  92.6%     -    4s
     0     0 1108770.39    0  461 1.4686e+07 1108770.39  92.5%     -    4s
H    0     0                    4594350.9443 1108770.39  75.9%     -    5s
     0     0 1108770.39    0  461 4594350.94 1108770.39  75.9%     -    5s
     0     0 1108770.39    0  461 4594350.94 1108770.39  75.9%     -    5s
     0     0 1108770.39    0  460 4594350.94 1108770.39  75.9%     -    5s
     0     0 1108810.95    0  460 4594350.94 1108810.95  75.9%     -    6s
H    0     0                    4401381.8049 1108818.59  74.8%     -    7s
     0     2 1108818.59    0  460 4401381.80 1108818.59  74.8%     -    8s
    40    42 1108947.57   30  436 4401381.80 1108877.38  74.8%   1.2   10s
H   52    52                    4377348.3779 1108877.38  74.7%   1.1   10s
H  104   104                    4377348.3346 1108877.38  74.7%   1.1   11s
   291   293 1108947.57  244  311 4377348.33 1108877.38  74.7%   1.1   15s
H  370   370                    3944330.1215 1108877.38  71.9%   1.1   17s
   462   464 1108947.57  379  297 3944330.12 1108877.38  71.9%   1.2   20s
H  498   498                    3939533.4366 1108877.38  71.9%   1.3   21s
H  539   539                    3939533.3239 1108877.38  71.9%   1.3   23s
   617   619 1108947.57  532  297 3939533.32 1108877.38  71.9%   1.5   25s
H  635   635                    3931142.2461 1108877.38  71.8%   1.6   26s
H  791   791                    3902885.2894 1108877.38  71.6%   1.9   30s
H  887   887                    3896768.0565 1108877.38  71.5%   2.1   34s
   936   938 1110640.87  840  297 3896768.06 1108877.38  71.5%   2.1   35s
  1148  1150 1111392.36 1042  297 3896768.06 1108877.38  71.5%   2.0   40s
H 1188  1188                    3870732.5582 1108877.38  71.4%   2.2   41s
  1313  1315 1111429.37 1168  297 3870732.56 1108877.38  71.4%   2.7   45s
H 1327  1327                    3858642.4328 1108877.38  71.3%   2.8   45s
H 1420  1420                    3851322.8499 1108877.38  71.2%   3.3   48s
  1469  1471 1111429.37 1290  297 3851322.85 1108877.38  71.2%   3.4   50s
H 1530  1530                    3850334.5415 1108877.38  71.2%   3.9   51s
  1634  1636 1111509.31 1430  298 3850334.54 1108877.38  71.2%   5.8   55s
H 1641  1641                    3792668.0310 1108877.38  70.8%   5.9   55s
  1758  1760 1111633.51 1548  296 3792668.03 1108877.38  70.8%   9.0   60s
  1885  1887 1111778.37 1675  297 3792668.03 1108877.38  70.8%  12.0   65s
H 1965  1965                    3792668.0200 1108877.38  70.8%  13.7   68s
  1997  1999 1111907.42 1787  297 3792668.02 1108877.38  70.8%  14.4   70s
  2137  2139 1112065.90 1927  297 3792668.02 1108877.38  70.8%  17.0   75s
  2257  2259 1112196.67 2045  297 3792668.02 1108877.38  70.8%  18.9   80s
  2378  2380 1114168.28 2161  300 3792668.02 1108877.38  70.8%  21.0   85s
  2551  2552 1112041.05 1909  157 3792668.02 1108877.38  70.8%  19.7   91s
H 2555  2427                    3771357.2249 1280228.90  66.1%  19.6   95s
H 2558  2307                    3757256.0163 1280228.90  65.9%  19.6   96s
  2565  2313 1280256.56  460  119 3757256.02 1280256.56  65.9%  19.9  100s
  2582  2326 1280979.32   36  417 3757256.02 1280292.36  65.9%  20.2  105s
  2730  2425 1280374.07  110  347 3757256.02 1280308.65  65.9%  19.2  110s
  2976  2589 1280326.77  233  297 3757256.02 1280308.65  65.9%  17.8  115s
  3334  2828 1280370.07  412  299 3757256.02 1280308.65  65.9%  16.4  120s
  3682  3060 1284787.29  586  311 3757256.02 1280308.65  65.9%  15.1  125s
  3980  3258 1284224.99  735  311 3757256.02 1280308.65  65.9%  14.4  130s
H 4175  3270                    3429843.4624 1280308.65  62.7%  14.0  132s
H 4272  3224                    3427179.0293 1280308.65  62.6%  13.8  133s
H 4398  3204                    3293528.4655 1280308.65  61.1%  13.6  135s
H 4551  3206                    3290968.3269 1280308.65  61.1%  13.3  137s
H 4637  3169                    3289064.4547 1280308.65  61.1%  13.2  139s
  4670  3193 1283434.70 1080  312 3289064.45 1280308.65  61.1%  13.1  140s
H 4846  3219                    3287968.5902 1280308.65  61.1%  12.9  142s
  5042  3351 1285916.16 1266  301 3287968.59 1280308.65  61.1%  12.7  145s
H 5074  3286                    3270830.2027 1280308.65  60.9%  12.7  145s
H 5315  3365                    3236798.9691 1280308.65  60.4%  12.7  148s
  5338  3383 1285916.27 1414  302 3236798.97 1280308.65  60.4%  12.7  150s
H 5342  3306                    3218234.3017 1280308.65  60.2%  12.7  150s
H 5436  3296                    3210672.0113 1280308.65  60.1%  12.7  152s
H 5629  3356                    3209987.8463 1280308.65  60.1%  12.6  154s
  5658  3377 1283502.40 1574  312 3209987.85 1280308.65  60.1%  12.6  155s
  6018  3617 1284228.97 1754  308 3209987.85 1280308.65  60.1%  12.5  160s
H 6038  3562                    3188159.2343 1280308.65  59.8%  12.5  160s
H 6391  3821                    3179235.6867 1280308.65  59.7%  12.5  165s
H 6569  3999                    3175135.7911 1280308.65  59.7%  12.5  167s
  6734  4166 1292343.23 2112  316 3175135.79 1280308.65  59.7%  12.5  170s
H 6905  4335                    3167547.8075 1280308.65  59.6%  12.5  172s
  7047  4479 1287084.64 2269  299 3167547.81 1280308.65  59.6%  12.7  175s
  7408  4840 1296774.29 2449  300 3167547.81 1280308.65  59.6%  12.9  180s
