
Gurobi 11.0.3 (linux64, Java) logging started ter 26 nov 2024 21:22:10 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 1.2352135373468347e-07
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_hosp/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 18295 rows, 12411 columns and 53324 nonzeros
Model fingerprint: 0x4550d312
Model has 83 quadratic constraints
Variable types: 6168 continuous, 6243 integer (78 binary)
Coefficient statistics:
  Matrix range     [1e-02, 4e+06]
  QMatrix range    [1e-02, 7e+04]
  QLMatrix range   [1e+00, 7e+04]
  Objective range  [2e+00, 2e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 2e+05]
Presolve removed 17832 rows and 11922 columns
Presolve time: 0.15s
Presolved: 1188 rows, 707 columns, 13375 nonzeros
Presolved model has 78 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 299 continuous, 408 integer (70 binary)
Found heuristic solution: objective 6443456.0075

Root relaxation: objective 0.000000e+00, 364 iterations, 0.03 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0  206 6443456.01    0.00000   100%     -    0s
H    0     0                    3284324.8662    0.00000   100%     -    0s
     0     0 147135.818    0  320 3284324.87 147135.818  95.5%     -    0s
     0     0 150009.626    0  307 3284324.87 150009.626  95.4%     -    0s
     0     0 176093.481    0  353 3284324.87 176093.481  94.6%     -    0s
     0     0 176093.481    0  217 3284324.87 176093.481  94.6%     -    0s
H    0     0                    3169697.7194 176093.481  94.4%     -    1s
     0     0 285313.007    0  221 3169697.72 285313.007  91.0%     -    1s
     0     0 317173.033    0  222 3169697.72 317173.033  90.0%     -    1s
     0     0 322724.189    0  225 3169697.72 322724.189  89.8%     -    1s
     0     0 339801.166    0  235 3169697.72 339801.166  89.3%     -    2s
     0     0 343813.666    0  235 3169697.72 343813.666  89.2%     -    2s
     0     0 346548.991    0  236 3169697.72 346548.991  89.1%     -    2s
     0     0 347536.617    0  237 3169697.72 347536.617  89.0%     -    2s
     0     0 361194.064    0  230 3169697.72 361194.064  88.6%     -    3s
     0     0 364100.537    0  241 3169697.72 364100.537  88.5%     -    3s
     0     0 364100.537    0  240 3169697.72 364100.537  88.5%     -    3s
     0     0 364100.537    0  238 3169697.72 364100.537  88.5%     -    3s
     0     0 364100.537    0  238 3169697.72 364100.537  88.5%     -    3s
     0     0 365237.057    0  238 3169697.72 365237.057  88.5%     -    4s
     0     2 365237.057    0  238 3169697.72 365237.057  88.5%     -    4s
    21    26 589602.024    8  223 3169697.72 395942.480  87.5%  36.6    5s
   232   240 2392678.94   66  123 3169697.72 395942.480  87.5%  18.8   10s
H  237   240                    3145755.1208 395942.480  87.4%  18.8   10s
   435   449 2631586.45  154  117 3145755.12 395942.480  87.4%  12.4   15s
   690   718 2695552.18  254  103 3145755.12 395942.480  87.4%   9.2   20s
H  845   872                    3126859.2464 395942.480  87.3%   8.0   24s
   871   903 2776351.62  329  102 3126859.25 395942.480  87.3%   8.0   25s
H 1015  1041                    3116178.9696 395942.480  87.3%   7.3   28s
  1040  1083 2834203.33  409  105 3116178.97 395942.480  87.3%   7.1   30s
  1294  1347 2875934.67  523   95 3116178.97 395942.480  87.3%   6.4   35s
  1450  1492 2946758.84  597  107 3116178.97 395942.480  87.3%   6.0   40s
  1686  1733 3042006.75  706   90 3116178.97 395942.480  87.3%   6.2   46s
  1894  1948 3048426.39  802   93 3116178.97 395942.480  87.3%   6.3   51s
  2048  2103 3053743.37  870   92 3116178.97 395942.480  87.3%   6.1   55s
  2298  2367 3074534.40  982   92 3116178.97 395942.480  87.3%   5.8   61s
  2487  2548 3081178.49 1067   94 3116178.97 395942.480  87.3%   5.6   66s
H 2700  1253                    2832609.9396 395942.480  86.0%   5.9   68s
  2705  1249 2631918.32  157  161 2832609.94 395942.480  86.0%   5.9   70s
  2735  1269 2336262.00   60  166 2832609.94 463733.175  83.6%   5.9   75s
  2756  1283 697839.466   16  169 2832609.94 491674.309  82.6%   5.8   80s
  2784  1302 2614522.99  126  171 2832609.94 502493.529  82.3%   6.5   85s
  2804  1316 1391227.11   34  180 2832609.94 504842.049  82.2%   6.4   90s
  2816  1324 1074455.92   38  178 2832609.94 505745.871  82.1%   6.4  103s
  2825  1331 773900.195   22  170 2832609.94 533960.798  81.1%   6.9  105s
  2836  1338 631869.415   11  169 2832609.94 534772.652  81.1%   6.9  114s
  2842  1345 587629.988   47  242 2832609.94 562111.241  80.2%   7.4  115s
  2916  1396 855379.412   65  198 2832609.94 572299.111  79.8%   8.3  120s
  3002  1458 1622412.59   87  161 2832609.94 572299.111  79.8%   8.8  125s
