
Gurobi 11.0.3 (linux64, Java) logging started qua 27 nov 2024 18:53:39 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 1.2352135373468347e-07
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_hosp/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 18295 rows, 12411 columns and 53324 nonzeros
Model fingerprint: 0x1374cf0f
Model has 83 quadratic constraints
Variable types: 6168 continuous, 6243 integer (78 binary)
Coefficient statistics:
  Matrix range     [1e-02, 4e+06]
  QMatrix range    [1e-02, 7e+04]
  QLMatrix range   [1e+00, 7e+04]
  Objective range  [2e+00, 2e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 1e+05]
  QRHS range       [1e-02, 1e-02]
Presolve removed 17831 rows and 11920 columns
Presolve time: 0.16s
Presolved: 1189 rows, 709 columns, 13378 nonzeros
Presolved model has 78 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 301 continuous, 408 integer (70 binary)
Found heuristic solution: objective 5325056.7147

Root relaxation: objective 0.000000e+00, 237 iterations, 0.02 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0  162 5325056.71    0.00000   100%     -    0s
H    0     0                    2075450.1391    0.00000   100%     -    0s
     0     0    0.00000    0  212 2075450.14    0.00000   100%     -    0s
H    0     0                    2009764.4805    0.00000   100%     -    0s
     0     0    0.00000    0  210 2009764.48    0.00000   100%     -    0s
     0     0 1628.90302    0  270 2009764.48 1628.90302   100%     -    0s
     0     0 1628.90302    0  270 2009764.48 1628.90302   100%     -    0s
     0     0 2192.12631    0  270 2009764.48 2192.12631   100%     -    0s
     0     0 10623.3048    0  355 2009764.48 10623.3048  99.5%     -    0s
     0     0 10623.3048    0  182 2009764.48 10623.3048  99.5%     -    1s
     0     0 10973.6960    0  210 2009764.48 10973.6960  99.5%     -    1s
     0     0 13092.3634    0  220 2009764.48 13092.3634  99.3%     -    1s
     0     0 13904.7693    0  228 2009764.48 13904.7693  99.3%     -    1s
     0     0 14206.8259    0  230 2009764.48 14206.8259  99.3%     -    1s
     0     0 15248.7300    0  228 2009764.48 15248.7300  99.2%     -    2s
     0     0 15909.8751    0  230 2009764.48 15909.8751  99.2%     -    2s
     0     0 15909.8751    0  230 2009764.48 15909.8751  99.2%     -    2s
     0     0 15977.5208    0  230 2009764.48 15977.5208  99.2%     -    2s
     0     0 15977.5208    0  230 2009764.48 15977.5208  99.2%     -    2s
     0     0 15981.9472    0  230 2009764.48 15981.9472  99.2%     -    2s
     0     0 15981.9472    0  228 2009764.48 15981.9472  99.2%     -    2s
     0     0 15983.2547    0  228 2009764.48 15983.2547  99.2%     -    3s
     0     2 15983.2547    0  228 2009764.48 15983.2547  99.2%     -    3s
    29    32 45742.8544    9  206 2009764.48 28505.2476  98.6%  31.6    5s
   235   216 232937.011    9  215 2009764.48 29741.1753  98.5%  17.0   10s
H  277   264                    1870255.8097 29741.1753  98.4%  15.7   11s
   428   403 206650.506   10  213 1870255.81 35827.6725  98.1%  15.6   15s
   666   625 1133562.68   46  139 1870255.81 40520.9842  97.8%  14.3   20s
H  790   676                    1870212.5942 41143.5375  97.8%  14.2   22s
   857   707 56867.7391    7  151 1870212.59 45522.4184  97.6%  14.1   26s
H  912   711                    1870132.1610 80453.0565  95.7%  15.3   29s
   915   712 364352.074   30  208 1870132.16 80453.0565  95.7%  15.4   30s
  1004   776 1090555.22   53  176 1870132.16 80453.0565  95.7%  15.8   35s
  1092   815 353359.763   23  214 1870132.16 86447.2552  95.4%  15.9   40s
  1178   869 884143.012   49  176 1870132.16 86447.2552  95.4%  16.0   45s
  1257   913 234275.808   19  225 1870132.16 92621.8528  95.0%  16.2   50s
  1323   963 637207.410   37  190 1870132.16 92621.8528  95.0%  16.1   55s
  1441  1015 130273.018   18  228 1870132.16 93896.2658  95.0%  16.0   60s
  1563  1104 930688.622   49  172 1870132.16 93896.2658  95.0%  16.0   65s
  1628  1130 1662764.59   66  146 1870132.16 94607.6009  94.9%  16.0   70s
  1695  1169 288104.506   24  216 1870132.16 105276.078  94.4%  16.3   75s
  1762  1219 562718.816   35  192 1870132.16 105276.078  94.4%  16.1   80s
  1841  1263 933095.732   49  166 1870132.16 105276.078  94.4%  16.0   86s
  1879  1294 1321216.90   57  152 1870132.16 105276.078  94.4%  15.9   90s
  1988  1367 521307.602   41  182 1870132.16 105713.921  94.3%  15.7   96s
H 2007  1326                    1867503.9256 105713.921  94.3%  15.6   96s
  2046  1364 1044711.57   53  154 1867503.93 105713.921  94.3%  15.6  100s
  2169  1444 1784669.08   80  103 1867503.93 108732.282  94.2%  15.4  108s
